label,image,class
[0],../data/cifar10/45764.png,airplane
[7],../data/cifar10/34439.png,horse
[8],../data/cifar10/16903.png,ship
[0],../data/cifar10/37713.png,airplane
[9],../data/cifar10/29993.png,truck
[3],../data/cifar10/34979.png,cat
[2],../data/cifar10/26111.png,bird
[9],../data/cifar10/38670.png,truck
[8],../data/cifar10/3721.png,ship
[4],../data/cifar10/7586.png,deer
[6],../data/cifar10/683.png,frog
[0],../data/cifar10/42564.png,airplane
[2],../data/cifar10/2908.png,bird
[9],../data/cifar10/8291.png,truck
[2],../data/cifar10/23674.png,bird
[1],../data/cifar10/17461.png,automobile
[9],../data/cifar10/15222.png,truck
[2],../data/cifar10/31091.png,bird
[2],../data/cifar10/34610.png,bird
[4],../data/cifar10/19858.png,deer
[5],../data/cifar10/22591.png,dog
[9],../data/cifar10/22096.png,truck
[2],../data/cifar10/18147.png,bird
[0],../data/cifar10/36313.png,airplane
[7],../data/cifar10/39054.png,horse
[6],../data/cifar10/48191.png,frog
[3],../data/cifar10/23105.png,cat
[6],../data/cifar10/38410.png,frog
[5],../data/cifar10/47758.png,dog
[2],../data/cifar10/19902.png,bird
[6],../data/cifar10/6407.png,frog
[4],../data/cifar10/38355.png,deer
[9],../data/cifar10/21130.png,truck
[1],../data/cifar10/31102.png,automobile
[2],../data/cifar10/5604.png,bird
[0],../data/cifar10/22963.png,airplane
[8],../data/cifar10/23302.png,ship
[5],../data/cifar10/14962.png,dog
[7],../data/cifar10/3959.png,horse
[9],../data/cifar10/22808.png,truck
[1],../data/cifar10/9253.png,automobile
[1],../data/cifar10/18552.png,automobile
[4],../data/cifar10/20155.png,deer
[0],../data/cifar10/23797.png,airplane
[8],../data/cifar10/28288.png,ship
[0],../data/cifar10/29342.png,airplane
[3],../data/cifar10/27621.png,cat
[4],../data/cifar10/47952.png,deer
[1],../data/cifar10/9943.png,automobile
[4],../data/cifar10/6050.png,deer
